year,level,persistent_id,label,confidence
2022,1,L1_C00059,Sampling,0.8931825632724326
2022,1,L1_C00018,Method,0.8465735902799727
2022,1,L1_C00031,Rmm-Diis,0.770805020110221
2022,1,L1_C00020,Magpie,0.8258096538021482
2022,1,L1_C00036,Matbench,0.7484906649788
2022,1,L1_C00065,Formula,0.6945910149055313
2022,1,L1_C00043,Analysis,0.7564949357461537
2022,1,L1_C00057,Optimization,0.8806662489770319
2022,1,L1_C00045,Melting,0.770805020110221
2022,1,L1_C00066,Force,0.7484906649788
2022,1,L1_C00067,Predictor,0.8367295829986474
2022,1,L1_C00023,Layer,0.7639057329615259
2022,1,L1_C00068,Basis,0.9248495242049359
2022,1,L1_C00056,Locality,0.7079441541679836
2022,1,L1_C00027,Loss,0.858351893845611
2022,1,L1_C00032,Matrix,0.770805020110221
2022,1,L1_C00028,Workflow,0.799573227355399
2022,1,L1_C00033,Workflow,0.770805020110221
2022,1,L1_C00034,Surface,0.7639057329615259
2022,1,L1_C00037,Featurizer,0.7484906649788
2022,1,L1_C00038,Feature,0.8912023005428146
2022,1,L1_C00039,Nested,0.7484906649788
2022,1,L1_C00069,Convex,0.739789527279837
2022,1,L1_C00040,Filtering,0.8401197381662155
2022,1,L1_C00058,Training,0.858351893845611
2022,1,L1_C00042,Descriptor,0.7833213344056216
2022,1,L1_C00026,Potential,0.739789527279837
2022,1,L1_C00049,Rmse,0.7564949357461537
2022,1,L1_C00070,Bias,0.770805020110221
2022,1,L1_C00050,Selection,0.8091042453358316
2022,1,L1_C00071,Superconductor,0.6945910149055313
2022,1,L1_C00052,Carbon,0.8178053830347946
2022,1,L1_C00055,Prediction,0.8663561646129646
2022,1,L1_C00053,Calculation,0.7639057329615259
2024,0,L0_C00000,With,1.0
2024,0,L0_C00013,With,0.9828313737302301
2024,0,L0_C00001,Aflow,0.962497281328427
2024,0,L0_C00014,Zhang,0.9406719247264254
2024,0,L0_C00003,Wang,0.9787491742782046
2024,0,L0_C00004,Sisso,0.9976733742420574
2024,0,L0_C00015,Mlips,0.8367295829986474
2024,0,L0_C00016,Md-17,0.8332204510175204
2024,0,L0_C00009,Automatminer,0.8526360524616161
2024,0,L0_C00002,Carbon,0.849650756146648
2024,0,L0_C00010,Descriptor,0.8332204510175204
2024,0,L0_C00017,Prediction,0.8784189633918261
2024,1,L1_C00000,With,1.0
2024,1,L1_C00072,Freeenergy,0.906044301054642
2024,1,L1_C00073,Chgnet,0.9219507705176107
2024,1,L1_C00004,Aflow,0.9234106504597259
2024,1,L1_C00074,Parallel,0.8912023005428146
2024,1,L1_C00075,Modeling,0.906044301054642
2024,1,L1_C00009,Calculations,0.8526360524616161
2024,1,L1_C00010,Zhang,0.9406719247264254
2024,1,L1_C00011,Wang,0.9787491742782046
2024,1,L1_C00076,Equivariant,0.794443897916644
2024,1,L1_C00045,Melting,0.8332204510175204
2024,1,L1_C00012,Sisso,0.962497281328427
2024,1,L1_C00038,Regression,0.9025351690735149
2024,1,L1_C00014,Graph,0.8258096538021482
2024,1,L1_C00077,Score,0.770805020110221
2024,1,L1_C00061,Chgnet,0.849650756146648
2024,1,L1_C00078,Calculations,0.8401197381662155
2024,1,L1_C00013,Wang,0.7484906649788
2024,1,L1_C00079,Transformer,0.7564949357461537
2024,1,L1_C00080,Elemental,0.8178053830347946
2024,1,L1_C00081,Mlips,0.8367295829986474
2024,1,L1_C00082,Bottleneck,0.813549421592915
2024,1,L1_C00083,Cluster,0.7302585092994046
2024,1,L1_C00054,Diffusion,0.8178053830347946
2024,1,L1_C00084,Idnn,0.7639057329615259
2024,1,L1_C00018,Corrections,0.8784189633918261
2024,1,L1_C00031,System,0.799573227355399
2024,1,L1_C00085,Gnome,0.6945910149055313
2024,1,L1_C00086,Oc20,0.7484906649788
2024,1,L1_C00087,Sampling,0.8401197381662155
2024,1,L1_C00088,Equation,0.7484906649788
2024,1,L1_C00053,Calculation,0.813549421592915
2024,1,L1_C00089,Feature,0.8258096538021482
2024,1,L1_C00067,Optimization,0.8951243718581428
2024,1,L1_C00090,Deep,0.7484906649788
2024,1,L1_C00091,Adsorbml,0.6945910149055313
2024,1,L1_C00092,Activation,0.794443897916644
2024,1,L1_C00093,Normalization,0.8044522437723423
2024,1,L1_C00094,Spherical,0.82188758248682
2024,1,L1_C00095,Scaling,0.7890371757896164
2024,1,L1_C00039,Cross-Validation,0.82188758248682
2024,1,L1_C00096,Communication,0.8713572066704308
2024,1,L1_C00058,Training,0.8951243718581428
2024,1,L1_C00069,Convex,0.7302585092994046
2024,1,L1_C00050,Prediction,0.9158883083359671
2024,1,L1_C00097,Attention,0.7639057329615259
2024,1,L1_C00028,Workflow,0.8044522437723423
2024,1,L1_C00034,Surface,0.7564949357461537
2024,1,L1_C00035,Automatminer,0.7639057329615259
2024,1,L1_C00098,Virtual,0.799573227355399
2024,1,L1_C00042,Descriptor,0.8332204510175204
2024,1,L1_C00099,Network,0.794443897916644
2024,1,L1_C00100,Prediction,0.8784189633918261
2024,1,L1_C00101,Discovery,0.8761200115693563
2024,1,L1_C00043,Analysis,0.7639057329615259
2024,1,L1_C00102,Md-17,0.739789527279837
2024,1,L1_C00103,Simulation,0.8044522437723423
2024,1,L1_C00104,Benchmark,0.7890371757896164
2024,1,L1_C00071,Discovery,0.7302585092994046
2024,1,L1_C00052,Carbon,0.8044522437723423
2026,0,L0_C00000,With,1.0
2026,0,L0_C00013,Carbon,0.9343805421853684
2026,0,L0_C00018,Materials,0.9430816798843313
2026,0,L0_C00015,With,0.9189654742026425
2026,0,L0_C00014,Zhang,0.8988984046564275
2026,0,L0_C00004,Md-17,1.0
2026,0,L0_C00003,Wang,1.0
2026,0,L0_C00019,Deng,0.8401197381662155
2026,0,L0_C00016,Energy,0.794443897916644
2026,0,L0_C00010,Descriptor,0.8688879454113936
2026,0,L0_C00017,Phonon,0.8931825632724326
2026,0,L0_C00009,Automatminer,0.849650756146648
2026,1,L1_C00000,With,1.0
2026,1,L1_C00072,Freeenergy,0.8988984046564275
2026,1,L1_C00105,Materials,0.9430816798843313
2026,1,L1_C00004,Aflow,0.9454347296253507
2026,1,L1_C00075,Modeling,0.906044301054642
2026,1,L1_C00081,With,0.9189654742026425
2026,1,L1_C00010,Zhang,0.8988984046564275
2026,1,L1_C00012,Celli,1.0
2026,1,L1_C00011,Wang,1.0
2026,1,L1_C00045,Melting,0.8401197381662155
2026,1,L1_C00090,Regression,0.8332204510175204
2026,1,L1_C00050,Symbolic,0.8784189633918261
2026,1,L1_C00083,Cluster,0.8091042453358316
2026,1,L1_C00077,Score,0.7639057329615259
2026,1,L1_C00106,Averaging,0.7772588722239782
2026,1,L1_C00107,Force,0.8912023005428146
2026,1,L1_C00013,Deng,0.8401197381662155
2026,1,L1_C00079,Transformer,0.7484906649788
2026,1,L1_C00108,Equivariant,0.8433987204485146
2026,1,L1_C00080,Elemental,0.8367295829986474
2026,1,L1_C00082,Bottleneck,0.8295836866004329
2026,1,L1_C00096,Message,0.906044301054642
2026,1,L1_C00109,Prediction,0.849650756146648
2026,1,L1_C00054,Diffusion,0.799573227355399
2026,1,L1_C00086,Oc20,0.8526360524616161
2026,1,L1_C00110,Materials,0.8332204510175204
2026,1,L1_C00093,Normalization,0.9290459441148391
2026,1,L1_C00087,Sampling,0.8688879454113936
